zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.3,aria,40000,80,100,5000,12,12,6730.9,6730.9
0.4,aria,40000,80,100,5000,12,12,5263.1,5263.1
0.5,aria,40000,80,100,5000,12,12,3370.6,3370.6
0.6,aria,40000,80,100,5000,12,12,1614.3,1614.3
0.7,aria,40000,80,100,5000,12,12,564.5,564.5
0.8,aria,40000,80,100,5000,12,12,162.6,162.6
0.0,aria,40000,80,100,6000,12,12,7350.1,7350.1
0.1,aria,40000,80,100,6000,12,12,6592.9,6592.9
0.2,aria,40000,80,100,6000,12,12,6292.1,6292.1
0.3,aria,40000,80,100,6000,12,12,5646.3,5646.3
0.4,aria,40000,80,100,6000,12,12,4456.8,4456.8
0.5,aria,40000,80,100,6000,12,12,2840.8,2840.8
0.6,aria,40000,80,100,6000,12,12,1367.4,1367.4
0.7,aria,40000,80,100,6000,12,12,476.8,476.8
0.8,aria,40000,80,100,6000,12,12,140.4,140.4
0.0,aria,40000,80,100,7000,12,12,6310.5,6310.5
0.1,aria,40000,80,100,7000,12,12,5710.9,5710.9
0.2,aria,40000,80,100,7000,12,12,5400.2,5400.2
0.3,aria,40000,80,100,7000,12,12,4829.9,4829.9
0.4,aria,40000,80,100,7000,12,12,3811.9,3811.9
0.5,aria,40000,80,100,7000,12,12,2424.2,2424.2
0.6,aria,40000,80,100,7000,12,12,1166.6,1166.6
0.7,aria,40000,80,100,7000,12,12,412.6,412.6
0.8,aria,40000,80,100,7000,12,12,117,117
0.0,aria,40000,80,100,8000,12,12,5541.8,5541.8
0.1,aria,40000,80,100,8000,12,12,5027,5027
0.2,aria,40000,80,100,8000,12,12,4499.2,4499.2
0.3,aria,40000,80,100,8000,12,12,4223.3,4223.3
0.4,aria,40000,80,100,8000,12,12,3346.7,3346.7
0.5,aria,40000,80,100,8000,12,12,2127.7,2127.7
0.6,aria,40000,80,100,8000,12,12,1028.9,1028.9
0.7,aria,40000,80,100,8000,12,12,360,360
0.8,aria,40000,80,100,8000,12,12,104.3,104.3
0.0,aria,40000,80,100,9000,12,12,4919.5,4919.5
0.1,aria,40000,80,100,9000,12,12,4435.4,4435.4
0.2,aria,40000,80,100,9000,12,12,4224.6,4224.6
0.3,aria,40000,80,100,9000,12,12,3808.1,3808.1
0.4,aria,40000,80,100,9000,12,12,2989.2,2989.2
0.5,aria,40000,80,100,9000,12,12,1893.4,1893.4
0.6,aria,40000,80,100,9000,12,12,901.3,901.3
0.7,aria,40000,80,100,9000,12,12,320.1,320.1
0.8,aria,40000,80,100,9000,12,12,93.5,93.5
