zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,5000,12,12,6174.6,6174.6
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,33484.2,33484.2
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,32245.1,32245.1
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,30832.2,30832.2
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,27531.8,27531.8
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,20927.3,20927.3
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,13380.7,13380.7
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,8657.4,8657.4
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,7337.9,7337.9
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,7224.2,7224.2
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,5928.9,5928.9
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,6000,12,12,4964.9,4964.9
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,28936.6,28936.6
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,27993.8,27993.8
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,26702.9,26702.9
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,23883.8,23883.8
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,18401.9,18401.9
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,11812.2,11812.2
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,7904.4,7904.4
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,6644.6,6644.6
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,6000.6,6000.6
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,4758.2,4758.2
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,7000,12,12,3911.5,3911.5
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,25559.3,25559.3
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,24732.7,24732.7
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,23644.7,23644.7
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,21126.8,21126.8
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,16317.5,16317.5
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,10596.6,10596.6
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,7191,7191
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,6321.1,6321.1
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,5108,5108
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,3982.4,3982.4
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,8000,12,12,3363.4,3363.4
0.0,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,23067.4,23067.4
0.1,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,22267.2,22267.2
0.2,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,21260.8,21260.8
0.3,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,19065.1,19065.1
0.4,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,14733,14733
0.5,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,9779.3,9779.3
0.6,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,6697.3,6697.3
0.7,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,5891,5891
0.8,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,4428.3,4428.3
0.9,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,2929.7,2929.7
0.99,ariaer_cache_fix_v2_abort_lock_fix,40000,95,100,9000,12,12,2866.6,2866.6
