variant	engine	threads	zipf	rw	ops	batch_size	exit_code	elapsed_sec	average_commit	average_abort	total_commit	log_path
current	aria	12	0.9	80	10	2048	0	27	249807	281649	249807	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.9.log
current	aria	12	0.9	80	10	4096	0	27	216406	308292	216406	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.9.log
current	aria	12	0.9	80	100	1024	0	26	276.4	132127	276.4	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.9.log
current	aria	12	0.9	80	100	2048	0	26	135.5	130322	135.5	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.9.log
current	aria	12	0.9	80	100	4096	0	27	68.6	132232	68.6	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_aria_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.9.log
current	ariaer	12	0.0	50	10	1024	0	27	576335	16018.3	576335	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.0.log
current	ariaer	12	0.0	50	10	2048	0	27	539438	30724.8	539438	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.0.log
current	ariaer	12	0.0	50	10	4096	0	26	483245	58246.1	483245	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.0.log
current	ariaer	12	0.0	50	100	1024	0	26	12484.1	66978.3	12484.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.0.log
current	ariaer	12	0.0	50	100	2048	0	26	6429.6	74935.1	6429.6	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.0.log
current	ariaer	12	0.0	50	100	4096	0	27	3293.2	80265.2	3293.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.0.log
