zipf,engine,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,aria,80,10,4096,16,16,1.72637,1.72637
0.1,aria,80,10,4096,16,16,1.30964,1.30964
0.2,aria,80,10,4096,16,16,1.31147,1.31147
0.3,aria,80,10,4096,16,16,1.31131,1.31131
0.4,aria,80,10,4096,16,16,1.30932,1.30932
0.5,aria,80,10,4096,16,16,1.30198,1.30198
0.6,aria,80,10,4096,16,16,1.28809,1.28809
0.7,aria,80,10,4096,16,16,1.21683,1.21683
0.8,aria,80,10,4096,16,16,1.04949,1.04949
0.9,aria,80,10,4096,16,16,798375,798375
0.0,ariaer,50,100,1024,16,16,124379,124379
0.1,ariaer,50,100,1024,16,16,119946,119946
0.2,ariaer,50,100,1024,16,16,117576,117576
0.3,ariaer,50,100,1024,16,16,111234,111234
0.4,ariaer,50,100,1024,16,16,96992.1,96992.1
0.5,ariaer,50,100,1024,16,16,69436.7,69436.7
0.6,ariaer,50,100,1024,16,16,35101.9,35101.9
0.7,ariaer,50,100,1024,16,16,12402.8,12402.8
0.8,ariaer,50,100,1024,16,16,4983.8,4983.8
0.9,ariaer,50,100,1024,16,16,3783.7,3783.7
0.0,ariaer,50,100,16000,16,16,11985.2,11985.2
0.1,ariaer,50,100,16000,16,16,11624.2,11624.2
0.2,ariaer,50,100,16000,16,16,10946.9,10946.9
0.3,ariaer,50,100,16000,16,16,9715.6,9715.6
0.4,ariaer,50,100,16000,16,16,7691.1,7691.1
0.5,ariaer,50,100,16000,16,16,4684,4684
0.6,ariaer,50,100,16000,16,16,2026.3,2026.3
0.7,ariaer,50,100,16000,16,16,677.8,677.8
0.8,ariaer,50,100,16000,16,16,267.2,267.2
0.9,ariaer,50,100,16000,16,16,203.8,203.8
0.0,ariaer,50,100,2048,16,16,80012.7,80012.7
0.1,ariaer,50,100,2048,16,16,77436,77436
0.2,ariaer,50,100,2048,16,16,74850.8,74850.8
0.3,ariaer,50,100,2048,16,16,69164,69164
0.4,ariaer,50,100,2048,16,16,57162.5,57162.5
0.5,ariaer,50,100,2048,16,16,37381.5,37381.5
0.6,ariaer,50,100,2048,16,16,17339.8,17339.8
0.7,ariaer,50,100,2048,16,16,5888.2,5888.2
0.8,ariaer,50,100,2048,16,16,2326.4,2326.4
0.9,ariaer,50,100,2048,16,16,1792.3,1792.3
0.0,ariaer,50,100,4096,16,16,42970.5,42970.5
0.1,ariaer,50,100,4096,16,16,41625,41625
0.2,ariaer,50,100,4096,16,16,39955.7,39955.7
0.3,ariaer,50,100,4096,16,16,36276.4,36276.4
0.4,ariaer,50,100,4096,16,16,28582.4,28582.4
0.5,ariaer,50,100,4096,16,16,17963.8,17963.8
0.6,ariaer,50,100,4096,16,16,7960.5,7960.5
0.7,ariaer,50,100,4096,16,16,2659.5,2659.5
0.8,ariaer,50,100,4096,16,16,1058.5,1058.5
0.9,ariaer,50,100,4096,16,16,810.1,810.1
0.0,ariaer,50,10,1024,16,16,1.37602,1.37602
0.1,ariaer,50,10,1024,16,16,1.09935,1.09935
0.2,ariaer,50,10,1024,16,16,1.09965,1.09965
0.3,ariaer,50,10,1024,16,16,1.10724,1.10724
0.4,ariaer,50,10,1024,16,16,1.09886,1.09886
0.5,ariaer,50,10,1024,16,16,1.0955,1.0955
0.6,ariaer,50,10,1024,16,16,1.06502,1.06502
0.7,ariaer,50,10,1024,16,16,979163,979163
0.8,ariaer,50,10,1024,16,16,781440,781440
0.9,ariaer,50,10,1024,16,16,504700,504700
0.0,ariaer,50,10,16000,16,16,1.02205,1.02205
0.1,ariaer,50,10,16000,16,16,844421,844421
0.2,ariaer,50,10,16000,16,16,842919,842919
0.3,ariaer,50,10,16000,16,16,836411,836411
0.4,ariaer,50,10,16000,16,16,820360,820360
0.5,ariaer,50,10,16000,16,16,776252,776252
0.6,ariaer,50,10,16000,16,16,682497,682497
0.7,ariaer,50,10,16000,16,16,526044,526044
0.8,ariaer,50,10,16000,16,16,338422,338422
0.9,ariaer,50,10,16000,16,16,174036,174036
0.0,ariaer,50,10,2048,16,16,1.36721,1.36721
0.1,ariaer,50,10,2048,16,16,1.10119,1.10119
0.2,ariaer,50,10,2048,16,16,1.09523,1.09523
0.3,ariaer,50,10,2048,16,16,1.0967,1.0967
0.4,ariaer,50,10,2048,16,16,1.09661,1.09661
0.5,ariaer,50,10,2048,16,16,1.08852,1.08852
0.6,ariaer,50,10,2048,16,16,1.03979,1.03979
0.7,ariaer,50,10,2048,16,16,915031,915031
0.8,ariaer,50,10,2048,16,16,689686,689686
0.9,ariaer,50,10,2048,16,16,412517,412517
0.0,ariaer,50,10,4096,16,16,1.33146,1.33146
0.1,ariaer,50,10,4096,16,16,1.06462,1.06462
0.2,ariaer,50,10,4096,16,16,1.06476,1.06476
0.3,ariaer,50,10,4096,16,16,1.06697,1.06697
0.4,ariaer,50,10,4096,16,16,1.0582,1.0582
0.5,ariaer,50,10,4096,16,16,1.03401,1.03401
0.6,ariaer,50,10,4096,16,16,970701,970701
0.7,ariaer,50,10,4096,16,16,817418,817418
0.8,ariaer,50,10,4096,16,16,575585,575585
0.9,ariaer,50,10,4096,16,16,322549,322549
0.0,ariaer,80,100,1024,16,16,240916,240916
0.1,ariaer,80,100,1024,16,16,230799,230799
0.2,ariaer,80,100,1024,16,16,230010,230010
0.3,ariaer,80,100,1024,16,16,225790,225790
0.4,ariaer,80,100,1024,16,16,211832,211832
0.5,ariaer,80,100,1024,16,16,179744,179744
0.6,ariaer,80,100,1024,16,16,120724,120724
0.7,ariaer,80,100,1024,16,16,62358.9,62358.9
0.8,ariaer,80,100,1024,16,16,27826.5,27826.5
0.9,ariaer,80,100,1024,16,16,12514.9,12514.9
0.0,ariaer,80,100,16000,16,16,41234.3,41234.3
0.1,ariaer,80,100,16000,16,16,39598.9,39598.9
0.2,ariaer,80,100,16000,16,16,37941,37941
0.3,ariaer,80,100,16000,16,16,34603,34603
0.4,ariaer,80,100,16000,16,16,28731.6,28731.6
0.5,ariaer,80,100,16000,16,16,20389.3,20389.3
0.6,ariaer,80,100,16000,16,16,11979.5,11979.5
0.7,ariaer,80,100,16000,16,16,5610.5,5610.5
0.8,ariaer,80,100,16000,16,16,2034.6,2034.6
0.9,ariaer,80,100,16000,16,16,733.5,733.5
0.0,ariaer,80,100,2048,16,16,189313,189313
0.1,ariaer,80,100,2048,16,16,181787,181787
0.2,ariaer,80,100,2048,16,16,179283,179283
0.3,ariaer,80,100,2048,16,16,171774,171774
0.4,ariaer,80,100,2048,16,16,154205,154205
0.5,ariaer,80,100,2048,16,16,119604,119604
0.6,ariaer,80,100,2048,16,16,73754.3,73754.3
0.7,ariaer,80,100,2048,16,16,36794.1,36794.1
0.8,ariaer,80,100,2048,16,16,15455,15455
0.9,ariaer,80,100,2048,16,16,6347.4,6347.4
0.0,ariaer,80,100,4096,16,16,119363,119363
0.1,ariaer,80,100,4096,16,16,116385,116385
0.2,ariaer,80,100,4096,16,16,112964,112964
0.3,ariaer,80,100,4096,16,16,104779,104779
0.4,ariaer,80,100,4096,16,16,89945.9,89945.9
0.5,ariaer,80,100,4096,16,16,66159.7,66159.7
