zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.4,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,4000,12,10,4564.6,4564.6
0.6,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,4000,12,10,3438.3,3438.3
0.8,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,4000,12,10,581.6,581.6
0.9,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,4000,12,10,260.8,260.8
0.0,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,1000,12,10,818019,818019
0.2,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,1000,12,10,514458,514458
0.4,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,1000,12,10,503362,503362
0.6,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,1000,12,10,282054,282054
0.8,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,1000,12,10,169347,169347
0.9,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,1000,12,10,141144,141144
0.0,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,4000,12,10,706554,706554
0.2,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,4000,12,10,459572,459572
0.4,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,4000,12,10,271021,271021
0.6,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,4000,12,10,128748,128748
0.8,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,4000,12,10,82287.7,82287.7
0.9,ariaer_cache_fix_v2_abort_lock_fix,10000,80,10,4000,12,10,69609.2,69609.2
