zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.7,aria,40000,95,100,4000,12,12,18404,18404
0.8,aria,40000,95,100,4000,12,12,12687.6,12687.6
0.99,aria,40000,95,100,4000,12,12,5905.1,5905.1
0.9,aria,40000,95,100,4000,12,12,8398.2,8398.2
0.0,aria,40000,95,100,5000,12,12,54170.6,54170.6
0.1,aria,40000,95,100,5000,12,12,47395.6,47395.6
0.2,aria,40000,95,100,5000,12,12,45992.6,45992.6
0.3,aria,40000,95,100,5000,12,12,42677.7,42677.7
0.4,aria,40000,95,100,5000,12,12,37082.3,37082.3
0.5,aria,40000,95,100,5000,12,12,29147.2,29147.2
0.6,aria,40000,95,100,5000,12,12,21903,21903
0.7,aria,40000,95,100,5000,12,12,15871.7,15871.7
0.8,aria,40000,95,100,5000,12,12,11063.5,11063.5
0.99,aria,40000,95,100,5000,12,12,5283,5283
0.9,aria,40000,95,100,5000,12,12,7472.2,7472.2
0.0,aria,40000,95,100,6000,12,12,46458.1,46458.1
0.1,aria,40000,95,100,6000,12,12,40884.6,40884.6
0.2,aria,40000,95,100,6000,12,12,39541.3,39541.3
0.3,aria,40000,95,100,6000,12,12,36600.9,36600.9
0.4,aria,40000,95,100,6000,12,12,31794.2,31794.2
0.5,aria,40000,95,100,6000,12,12,25335.7,25335.7
0.6,aria,40000,95,100,6000,12,12,19080.6,19080.6
0.7,aria,40000,95,100,6000,12,12,13971.5,13971.5
0.8,aria,40000,95,100,6000,12,12,9945.5,9945.5
0.99,aria,40000,95,100,6000,12,12,4925.4,4925.4
0.9,aria,40000,95,100,6000,12,12,6833.5,6833.5
0.0,aria,40000,95,100,7000,12,12,40775.4,40775.4
0.1,aria,40000,95,100,7000,12,12,35843.5,35843.5
0.2,aria,40000,95,100,7000,12,12,34744.3,34744.3
0.3,aria,40000,95,100,7000,12,12,32055.5,32055.5
0.4,aria,40000,95,100,7000,12,12,27933.4,27933.4
0.5,aria,40000,95,100,7000,12,12,22241.1,22241.1
0.6,aria,40000,95,100,7000,12,12,16910.2,16910.2
0.7,aria,40000,95,100,7000,12,12,12543.4,12543.4
0.8,aria,40000,95,100,7000,12,12,8936.5,8936.5
0.99,aria,40000,95,100,7000,12,12,4630.5,4630.5
0.9,aria,40000,95,100,7000,12,12,6287.8,6287.8
0.0,aria,40000,95,100,8000,12,12,36457,36457
0.1,aria,40000,95,100,8000,12,12,31853.2,31853.2
0.2,aria,40000,95,100,8000,12,12,30770.4,30770.4
0.3,aria,40000,95,100,8000,12,12,28631.2,28631.2
0.4,aria,40000,95,100,8000,12,12,24907.5,24907.5
0.5,aria,40000,95,100,8000,12,12,19865.6,19865.6
0.6,aria,40000,95,100,8000,12,12,15138.9,15138.9
0.7,aria,40000,95,100,8000,12,12,11422.1,11422.1
0.8,aria,40000,95,100,8000,12,12,8244,8244
0.99,aria,40000,95,100,8000,12,12,4390.8,4390.8
0.9,aria,40000,95,100,8000,12,12,5852.3,5852.3
0.0,aria,40000,95,100,9000,12,12,32728.7,32728.7
0.1,aria,40000,95,100,9000,12,12,28712.3,28712.3
0.2,aria,40000,95,100,9000,12,12,27913,27913
0.3,aria,40000,95,100,9000,12,12,25751.2,25751.2
0.4,aria,40000,95,100,9000,12,12,22515.1,22515.1
0.5,aria,40000,95,100,9000,12,12,18045.6,18045.6
0.6,aria,40000,95,100,9000,12,12,13786.3,13786.3
0.7,aria,40000,95,100,9000,12,12,10436.9,10436.9
0.8,aria,40000,95,100,9000,12,12,7626.9,7626.9
0.99,aria,40000,95,100,9000,12,12,4161.2,4161.2
0.9,aria,40000,95,100,9000,12,12,5520.6,5520.6
